iter	Passed	Remaining
694	4356	1911
695	4361	1904
696	4368	1898
697	4376	1893
698	4385	1888
699	4391	1882
700	4397	1875
701	4404	1869
702	4410	1863
703	4416	1856
704	4422	1850
705	4428	1844
706	4434	1837
707	4440	1831
708	4446	1825
709	4452	1818
710	4458	1812
711	4463	1805
712	4469	1799
713	4475	1792
714	4481	1786
715	4487	1779
716	4493	1773
717	4499	1767
718	4504	1760
719	4511	1754
720	4517	1748
721	4523	1741
722	4529	1735
723	4535	1729
724	4541	1722
725	4547	1716
726	4553	1709
727	4559	1703
728	4564	1696
729	4571	1690
730	4576	1684
731	4582	1677
732	4588	1671
733	4594	1664
734	4600	1658
735	4606	1652
736	4612	1645
737	4621	1640
738	4627	1634
739	4634	1628
740	4640	1621
741	4646	1615
742	4652	1609
743	4658	1602
744	4664	1596
745	4670	1590
746	4676	1583
747	4683	1577
748	4690	1571
749	4696	1565
750	4702	1559
751	4708	1552
752	4714	1546
753	4721	1540
754	4728	1534
755	4734	1528
756	4740	1521
757	4746	1515
758	4752	1509
759	4758	1502
760	4764	1496
761	4770	1489
762	4776	1483
763	4781	1477
764	4787	1470
765	4793	1464
766	4799	1458
767	4806	1451
768	4812	1445
769	4818	1439
770	4824	1433
771	4831	1426
772	4836	1420
773	4842	1414
774	4849	1407
775	4855	1401
776	4861	1395
777	4867	1388
778	4873	1382
779	4879	1376
780	4885	1369
781	4891	1363
782	4897	1357
783	4903	1351
784	4909	1344
785	4915	1338
786	4921	1331
787	4927	1325
788	4933	1319
789	4938	1312
790	4944	1306
791	4950	1300
792	4956	1293
793	4962	1287
794	4968	1281
795	4974	1274
796	4980	1268
797	4986	1262
798	4992	1255
799	4998	1249
800	5004	1243
801	5010	1236
802	5016	1230
803	5022	1224
804	5028	1218
805	5034	1211
806	5040	1205
807	5046	1199
808	5052	1192
809	5058	1186
810	5064	1180
811	5070	1173
812	5075	1167
813	5082	1161
814	5088	1155
815	5094	1148
816	5101	1142
817	5107	1136
818	5113	1130
819	5120	1124
820	5126	1117
821	5132	1111
822	5139	1105
823	5145	1098
824	5150	1092
825	5156	1086
826	5162	1080
827	5168	1073
828	5174	1067
829	5180	1061
830	5185	1054
831	5191	1048
832	5197	1042
833	5203	1035
834	5209	1029
835	5215	1023
836	5221	1016
837	5227	1010
838	5233	1004
839	5239	998
840	5245	991
841	5251	985
842	5257	979
843	5263	972
844	5269	966
845	5275	960
846	5281	954
847	5287	947
848	5293	941
849	5299	935
850	5305	928
851	5311	922
852	5317	916
853	5323	910
854	5329	903
855	5335	897
856	5341	891
857	5347	885
858	5353	878
859	5359	872
860	5365	866
861	5372	860
862	5378	853
863	5384	847
864	5390	841
865	5398	835
866	5407	829
867	5413	823
868	5420	817
869	5426	810
870	5432	804
871	5438	798
872	5443	791
873	5448	785
874	5455	779
875	5460	773
876	5466	766
877	5472	760
878	5478	754
879	5484	747
880	5490	741
881	5496	735
882	5502	729
883	5508	722
884	5514	716
885	5520	710
886	5526	704
887	5532	697
888	5538	691
889	5544	685
890	5550	679
891	5556	672
892	5562	666
893	5571	660
894	5583	655
895	5589	648
896	5595	642
897	5601	636
898	5607	629
899	5613	623
900	5619	617
901	5625	611
902	5632	605
903	5638	598
904	5644	592
905	5651	586
906	5657	580
907	5662	573
908	5668	567
909	5674	561
910	5680	554
911	5686	548
912	5692	542
913	5698	536
914	5705	529
915	5711	523
916	5718	517
917	5725	511
918	5732	505
919	5738	499
920	5744	492
921	5750	486
922	5756	480
923	5762	473
924	5768	467
925	5774	461
926	5780	455
927	5786	448
928	5792	442
929	5798	436
930	5804	430
931	5810	423
932	5816	417
933	5822	411
934	5828	405
935	5834	398
936	5840	392
937	5846	386
938	5852	380
939	5858	373
940	5864	367
941	5870	361
942	5876	355
943	5883	348
944	5889	342
945	5895	336
946	5901	330
947	5907	324
948	5913	317
949	5919	311
950	5924	305
951	5931	299
952	5937	292
953	5943	286
954	5949	280
955	5955	274
956	5961	267
957	5967	261
958	5973	255
959	5979	249
960	5985	242
961	5991	236
962	5997	230
963	6003	224
964	6009	217
965	6015	211
966	6020	205
967	6026	199
968	6032	192
969	6038	186
970	6044	180
971	6050	174
972	6056	168
973	6062	161
974	6068	155
975	6074	149
976	6080	143
977	6085	136
978	6091	130
979	6097	124
980	6103	118
981	6109	111
982	6115	105
